system:index,apex_date,aspect,detail,elevation,event_id,flood,land_cover,precip_14_day,precip_3_day,precip_7_day,precip_total,purpose,slope,soil_moisture,soil_type,.geo
1_11,2020-10-13,171.67803612408608,Lu lich su mien Trung (Dot 1),414,FL_TRN_2020_10,1,30,382.2689907755703,98.27999749779701,288.449993301183,279.49999257177114,training,6.5330657958984375,0.48925748467445374,4,"{""type"":""Point"",""coordinates"":[108.03193186053409,12.411882864928357]}"
1_35,2020-10-13,133.4873700617634,Lu lich su mien Trung (Dot 1),3,FL_TRN_2020_10,1,40,447.18798914551735,38.389999417588115,203.84999587200582,1718.6799676530063,training,0.6738269329071045,0.4752030074596405,7,"{""type"":""Point"",""coordinates"":[105.81397131092713,18.459956595396243]}"
1_58,2020-10-13,63.79485554699423,Lu lich su mien Trung (Dot 1),2,FL_TRN_2020_10,1,40,640.1299837380648,201.24999430030584,323.1799911260605,652.1399847492576,training,1.0500630140304565,0.0,4,"{""type"":""Point"",""coordinates"":[104.92928499543763,10.151731857211526]}"
1_96,2020-10-13,287.3350208702872,Lu lich su mien Trung (Dot 1),24,FL_TRN_2020_10,1,60,235.4549973476678,0.0,132.35999987274408,378.04999116808176,training,3.1097631454467773,0.484481543302536,7,"{""type"":""Point"",""coordinates"":[105.65718377471542,20.543149258025416]}"
1_97,2020-10-13,37.46590850053042,Lu lich su mien Trung (Dot 1),678,FL_TRN_2020_10,1,10,58.059998517856,1.4799999743700027,21.039999363943934,252.58999409899116,training,19.12213706970215,0.4073507487773895,4,"{""type"":""Point"",""coordinates"":[105.205323442756,22.918565660868744]}"
1_104,2020-10-13,6.116992460108194,Lu lich su mien Trung (Dot 1),681,FL_TRN_2020_10,1,30,223.98299595341086,0.07000000029802322,84.20999934151769,231.61999571882188,training,13.723428726196289,0.37913843989372253,4,"{""type"":""Point"",""coordinates"":[104.38938340438462,21.075794202661577]}"
1_109,2020-10-13,8.252222414285141,Lu lich su mien Trung (Dot 1),2,FL_TRN_2020_10,1,40,609.4099873211235,151.21999701857567,303.06999344564974,747.7999850995839,training,3.2766051292419434,0.6364753246307373,4,"{""type"":""Point"",""coordinates"":[105.2679860329853,9.936616313509168]}"
1_124,2020-10-13,56.701417298694466,Lu lich su mien Trung (Dot 1),1,FL_TRN_2020_10,1,40,562.644986204803,149.03999643959105,293.0799928791821,621.6499840710312,training,1.6889228820800781,0.5116119384765625,1,"{""type"":""Point"",""coordinates"":[105.51288142881047,9.848606039439318]}"
1_131,2020-10-13,180.0,Lu lich su mien Trung (Dot 1),2,FL_TRN_2020_10,1,40,542.2369861751795,198.7999952007085,304.74999255128205,519.1099882740527,training,0.46373534202575684,0.540978193283081,4,"{""type"":""Point"",""coordinates"":[104.85838110381866,10.423940754387477]}"
1_133,2020-10-13,355.85491431404705,Lu lich su mien Trung (Dot 1),5,FL_TRN_2020_10,1,40,563.2749886121601,116.86999755539,306.3499932214618,442.02998970262706,training,6.4816718101501465,0.6178906559944153,4,"{""type"":""Point"",""coordinates"":[105.97462618732065,9.734274358076553]}"
