system:index,apex_date,aspect,detail,elevation,event_id,flood,land_cover,precip_14_day,precip_3_day,precip_7_day,precip_total,purpose,slope,soil_moisture,soil_type,.geo
2_2373,2022-10-11,239.62735433885317,Lu tai Da Nang (Dot 1),993,FL_TRN_2022_10_A,0,10,95.21399780362844,1.4899999648332596,27.809999234974384,10.609999660402536,training,10.873684883117676,0.5025491118431091,4,"{""type"":""Point"",""coordinates"":[103.91685413497429,21.887006399229474]}"
2_2374,2022-10-11,76.61013905146405,Lu tai Da Nang (Dot 1),6,FL_TRN_2022_10_A,0,60,796.4769831746817,43.21999925374985,163.5199969187379,155.6699983049184,training,2.0017499923706055,0.0,6,"{""type"":""Point"",""coordinates"":[106.43031727692241,17.78952602603884]}"
2_2379,2022-10-11,96.26185405339677,Lu tai Da Nang (Dot 1),619,FL_TRN_2022_10_A,0,10,728.1489842031151,23.879999179393053,180.40999518334866,1039.6399731915444,training,16.53224754333496,0.5708252191543579,4,"{""type"":""Point"",""coordinates"":[107.29138468444873,16.23734929835783]}"
2_2383,2022-10-11,-0.0,Lu tai Da Nang (Dot 1),1,FL_TRN_2022_10_A,0,40,490.2709880452603,95.99999734386802,197.21999484859407,120.84999691136181,training,0.9274099469184875,0.5908430814743042,4,"{""type"":""Point"",""coordinates"":[105.01536569488437,9.612543764016179]}"
2_2399,2022-10-11,185.11256791451788,Lu tai Da Nang (Dot 1),523,FL_TRN_2022_10_A,0,10,27.347999531775713,0.20999999344348907,13.04999977350235,4.13999986089766,training,5.5695648193359375,0.4378334879875183,4,"{""type"":""Point"",""coordinates"":[103.03745670874027,21.341913102435964]}"
2_2402,2022-10-11,244.22683069636508,Lu tai Da Nang (Dot 1),1674,FL_TRN_2022_10_A,0,10,544.9299875367433,13.189999736845493,67.67999847792089,722.5399860721081,training,12.591866493225098,0.4865586459636688,6,"{""type"":""Point"",""coordinates"":[107.5950329935738,15.053530290893592]}"
2_2408,2022-10-11,232.2343330537691,Lu tai Da Nang (Dot 1),302,FL_TRN_2022_10_A,0,10,464.45599092170596,21.149999428540468,65.50999827310443,276.74999412707984,training,3.0260541439056396,0.5081420540809631,6,"{""type"":""Point"",""coordinates"":[107.53868602622144,14.442530493131253]}"
2_2416,2022-10-11,151.64854123460037,Lu tai Da Nang (Dot 1),675,FL_TRN_2022_10_A,0,40,106.37599789351225,1.3199999779462814,37.54999953508377,3.759999932721257,training,1.0537867546081543,0.4405236840248108,4,"{""type"":""Point"",""coordinates"":[103.87106684065658,22.087846658607404]}"
2_2423,2022-10-11,90.0,Lu tai Da Nang (Dot 1),-1,FL_TRN_2022_10_A,0,40,536.3259863331914,238.0199926942587,309.42999090626836,110.36999744549394,training,0.47071510553359985,0.5141510367393494,7,"{""type"":""Point"",""coordinates"":[106.53777248179078,9.879348909600889]}"
2_2425,2022-10-11,-0.0,Lu tai Da Nang (Dot 1),4,FL_TRN_2022_10_A,0,50,447.4619893692434,99.42999777942896,121.32999743707478,143.28999634459615,training,0.46373534202575684,0.49952295422554016,4,"{""type"":""Point"",""coordinates"":[106.71547414485752,10.556918203146939]}"
2_2426,2022-10-11,81.82013057659472,Lu tai Da Nang (Dot 1),1317,FL_TRN_2022_10_A,0,30,49.02599877677858,0.17999999225139618,14.459999553859234,5.639999803155661,training,18.84576416015625,0.5318198800086975,4,"{""type"":""Point"",""coordinates"":[103.2289626963282,20.879244747445895]}"
2_2431,2022-10-11,194.58051610525757,Lu tai Da Nang (Dot 1),519,FL_TRN_2022_10_A,0,10,605.1879879646003,49.079999055713415,90.9999981019646,1174.5499722156674,training,7.621565341949463,0.567280650138855,4,"{""type"":""Point"",""coordinates"":[107.79939437117673,16.032501404467688]}"
2_2432,2022-10-11,184.81609497675308,Lu tai Da Nang (Dot 1),297,FL_TRN_2022_10_A,0,10,668.5119897350669,38.37999934144318,123.0799979120493,962.8899728748947,training,16.727354049682617,0.5509856939315796,4,"{""type"":""Point"",""coordinates"":[107.60983111401907,15.776808408561383]}"
2_2436,2022-10-11,-0.0,Lu tai Da Nang (Dot 1),1,FL_TRN_2022_10_A,0,10,454.9449889957905,77.24999819509685,103.83999749831855,119.71999721415341,training,0.0,0.590088963508606,4,"{""type"":""Point"",""coordinates"":[106.72166118921743,10.615500510576009]}"
2_2440,2022-10-11,24.941584711133242,Lu tai Da Nang (Dot 1),18,FL_TRN_2022_10_A,0,10,821.826977904886,301.8399918451905,369.7799899596721,246.80999407730997,training,4.593128204345703,0.0,4,"{""type"":""Point"",""coordinates"":[107.01478355729941,17.126140768581827]}"
2_2456,2022-10-11,139.20760250547485,Lu tai Da Nang (Dot 1),646,FL_TRN_2022_10_A,0,10,70.99599829316139,0.1899999976158142,39.10999898612499,0.12999999895691872,training,12.069132804870605,0.4639073312282562,4,"{""type"":""Point"",""coordinates"":[103.62289941309379,22.01916155422451]}"
2_2457,2022-10-11,20.204521914083468,Lu tai Da Nang (Dot 1),516,FL_TRN_2022_10_A,0,10,716.1909825224429,57.65999819897115,187.23999619670212,269.899994045496,training,17.698400497436523,0.4723173677921295,4,"{""type"":""Point"",""coordinates"":[106.20935351259324,17.309120376738477]}"
2_2458,2022-10-11,223.9564251232211,Lu tai Da Nang (Dot 1),1867,FL_TRN_2022_10_A,0,10,104.25099794752896,1.129999976605177,25.169999461621046,4.259999893605709,training,12.05871295928955,0.42174431681632996,4,"{""type"":""Point"",""coordinates"":[104.0848780031572,21.88461807011249]}"
2_2462,2022-10-11,328.6228815617668,Lu tai Da Nang (Dot 1),253,FL_TRN_2022_10_A,0,10,877.5139790195972,278.789992839098,335.25999114476144,377.4699903912842,training,6.490267276763916,0.5869121551513672,4,"{""type"":""Point"",""coordinates"":[106.74943540833803,16.959261279208476]}"
2_2463,2022-10-11,26.94389134129878,Lu tai Da Nang (Dot 1),1,FL_TRN_2022_10_A,0,10,431.08699099719524,139.2199967522174,178.85999564826488,117.38999778404832,training,2.0799434185028076,0.6199464797973633,4,"{""type"":""Point"",""coordinates"":[106.10242700279333,10.363409219009377]}"
2_2465,2022-10-11,270.0,Lu tai Da Nang (Dot 1),0,FL_TRN_2022_10_A,0,80,449.9179893415421,88.46999823488295,175.82999610714614,160.75999615341425,training,0.4703761041164398,0.5908430814743042,1,"{""type"":""Point"",""coordinates"":[104.99570435810388,9.638986748086662]}"
