apex_date,aspect,detail,elevation,event_id,flood,land_cover,precip_14_day,precip_3_day,precip_7_day,precip_total,purpose,slope,soil_moisture,soil_type
7/30/2015,134.3046212,Lu lich su Quang Ninh,441,FL_TRN_2015_07,1,40,131.6699975,0.299999982,50.72999921,81.61199831,training,0.663912117,0.321200073,4
7/30/2015,0,Lu lich su Quang Ninh,17,FL_TRN_2015_07,1,40,139.2499975,9.589999842,93.33999874,228.2059956,training,0,0.268410027,4
7/30/2015,37.39438655,Lu lich su Quang Ninh,76,FL_TRN_2015_07,1,10,202.9199955,18.33999967,64.27999844,159.8339947,training,2.333563805,0.552767038,6
7/30/2015,0,Lu lich su Quang Ninh,454,FL_TRN_2015_07,1,40,98.85999763,2.939999953,43.15999895,87.75499899,training,0,0.248567253,4
7/30/2015,201.2436554,Lu lich su Quang Ninh,572,FL_TRN_2015_07,1,10,140.0599972,8.729999829,79.74999835,185.3689952,training,25.93378639,0.394785285,4
7/30/2015,198.7245458,Lu lich su Quang Ninh,2,FL_TRN_2015_07,1,80,185.0399947,11.32999991,56.80999857,54.18799832,training,1.468663931,0.419083208,4
7/30/2015,121.819357,Lu lich su Quang Ninh,621,FL_TRN_2015_07,1,10,141.9099966,0,39.84999902,49.4429985,training,13.79988575,0.237776399,4
7/30/2015,289.0599733,Lu lich su Quang Ninh,971,FL_TRN_2015_07,1,10,181.4999969,43.85999967,99.79999823,164.7889954,training,8.45862484,0.516999185,4
7/30/2015,279.4188891,Lu lich su Quang Ninh,1207,FL_TRN_2015_07,1,10,171.6599962,50.90999901,68.95999865,152.8149964,training,16.52819633,0.497781307,4
7/30/2015,137.5537354,Lu lich su Quang Ninh,374,FL_TRN_2015_07,1,10,140.3399964,4.199999891,66.30999794,136.6839963,training,19.89850998,0.413076788,4
7/30/2015,88.44429809,Lu lich su Quang Ninh,440,FL_TRN_2015_07,1,10,196.4199955,13.77999996,48.13999895,98.25699904,training,16.60093307,0.557500362,4
7/30/2015,67.81369826,Lu lich su Quang Ninh,188,FL_TRN_2015_07,1,10,118.0799974,0.219999988,56.69999855,74.76299865,training,9.729985237,0.28268683,4
7/30/2015,70.71684546,Lu lich su Quang Ninh,758,FL_TRN_2015_07,1,10,288.3799922,50.24999859,169.5499952,336.4049919,training,15.08835316,0.429549575,4
7/30/2015,239.2509777,Lu lich su Quang Ninh,12,FL_TRN_2015_07,1,80,238.4299942,42.38999896,170.1299959,334.3479916,training,4.525720119,0.325524747,4
7/30/2015,173.4459219,Lu lich su Quang Ninh,841,FL_TRN_2015_07,1,10,208.4699954,24.68999931,72.68999797,114.4639972,training,8.342864037,0.591390669,6
7/30/2015,180,Lu lich su Quang Ninh,687,FL_TRN_2015_07,1,30,116.6399977,0.089999998,69.75999821,100.8549985,training,1.390963078,0.342012614,4
7/30/2015,194.5805161,Lu lich su Quang Ninh,519,FL_TRN_2015_07,1,10,151.1599964,7.409999773,59.19999867,174.4359961,training,7.621565342,0.335693657,4
7/30/2015,94.30446398,Lu lich su Quang Ninh,503,FL_TRN_2015_07,1,10,185.6699945,37.20999789,63.94999721,178.3099969,training,6.154840469,0.552874565,4
7/30/2015,56.14795696,Lu lich su Quang Ninh,444,FL_TRN_2015_07,1,10,120.7899968,7.069999738,58.79999865,199.7789952,training,13.08756161,0.297083557,4
7/30/2015,258.9369739,Lu lich su Quang Ninh,544,FL_TRN_2015_07,1,10,237.809995,10.92999961,91.11999786,149.2039976,training,9.576775551,0.543546975,4
7/30/2015,259.6930793,Lu lich su Quang Ninh,608,FL_TRN_2015_07,1,10,196.4199955,13.77999996,48.13999895,98.25699904,training,19.8950634,0.562861264,4
7/30/2015,214.3482571,Lu lich su Quang Ninh,797,FL_TRN_2015_07,1,10,105.5399976,6.819999957,69.5799988,82.06199851,training,14.82567215,0.227623567,4
7/30/2015,109.7003284,Lu lich su Quang Ninh,260,FL_TRN_2015_07,1,10,153.7999973,16.28999981,100.8499985,55.6079993,training,14.79474163,0.312969238,4
7/30/2015,0,Lu lich su Quang Ninh,6,FL_TRN_2015_07,1,80,188.6999961,39.24999879,90.45999783,37.03199913,training,1.390963078,0.419867337,1
7/30/2015,128.0609085,Lu lich su Quang Ninh,312,FL_TRN_2015_07,1,10,269.9699942,29.39999983,48.14999938,132.5349966,training,5.995812416,0.458218396,4
7/30/2015,228.1950921,Lu lich su Quang Ninh,962,FL_TRN_2015_07,1,10,133.7099967,0.369999975,25.63999928,69.13799844,training,8.289962769,0.275212675,4
7/30/2015,133.9164858,Lu lich su Quang Ninh,55,FL_TRN_2015_07,0,40,157.7199977,7.089999832,58.60999866,206.3209947,training,0.668567359,0.324578702,4
7/30/2015,142.4618156,Lu lich su Quang Ninh,381,FL_TRN_2015_07,0,10,185.0599952,21.69999951,52.75999868,88.10299743,training,13.76501369,0.329584002,4
7/30/2015,258.9261057,Lu lich su Quang Ninh,258,FL_TRN_2015_07,0,10,269.9699942,29.39999983,48.14999938,132.5349966,training,4.817415237,0.465530723,4
7/30/2015,233.9812211,Lu lich su Quang Ninh,566,FL_TRN_2015_07,0,10,310.7599934,16.85999963,78.13999785,113.2329976,training,4.72097826,0.395804197,4
7/30/2015,191.5733854,Lu lich su Quang Ninh,421,FL_TRN_2015_07,0,10,263.989995,75.87999962,132.6799984,86.99599818,training,9.382616043,0.486386567,4
7/30/2015,96.92204465,Lu lich su Quang Ninh,554,FL_TRN_2015_07,0,30,189.4599956,0,61.12999834,59.83499884,training,3.842140436,0.366715133,4
7/30/2015,263.3281548,Lu lich su Quang Ninh,906,FL_TRN_2015_07,0,10,144.4099957,12.77999966,62.09999803,183.8389964,training,15.57106113,0.354256243,4
7/30/2015,314.1821645,Lu lich su Quang Ninh,197,FL_TRN_2015_07,0,10,338.9399928,15.69999976,106.9999972,99.45199733,training,3.323270559,0.358493537,6
7/30/2015,270,Lu lich su Quang Ninh,42,FL_TRN_2015_07,0,40,146.2699967,8.709999934,99.5299983,26.51599927,training,0.474926561,0.267878085,4
7/30/2015,207.0153207,Lu lich su Quang Ninh,669,FL_TRN_2015_07,0,10,183.979996,61.53999877,83.65999803,57.03299869,training,9.287591934,0.543253303,4
7/30/2015,53.15421169,Lu lich su Quang Ninh,883,FL_TRN_2015_07,0,10,146.5199974,40.16999914,96.32999843,84.52599847,training,19.33760262,0.52866447,4
7/30/2015,113.5948367,Lu lich su Quang Ninh,360,FL_TRN_2015_07,0,10,111.0899974,3.119999863,32.62999916,151.0609965,training,15.80667973,0.326326847,7
7/30/2015,352.748513,Lu lich su Quang Ninh,-3,FL_TRN_2015_07,0,80,222.1499948,82.84999822,126.4899974,57.57399847,training,7.437691212,0.501547694,4
7/30/2015,133.4873701,Lu lich su Quang Ninh,3,FL_TRN_2015_07,0,40,117.8599971,28.67999923,97.44999764,342.4889913,training,0.673826933,0.297164738,7
7/30/2015,51.79604779,Lu lich su Quang Ninh,205,FL_TRN_2015_07,0,10,220.6399941,85.82999792,145.8299965,342.153993,training,11.10631084,0.297365755,6
7/30/2015,37.30210692,Lu lich su Quang Ninh,-4,FL_TRN_2015_07,0,60,167.6399958,34.60999898,71.55999846,59.73699809,training,2.330700636,0.432864547,4
7/30/2015,24.48420216,Lu lich su Quang Ninh,330,FL_TRN_2015_07,0,10,281.7199951,16.00999992,57.86999875,192.8449952,training,16.8244648,0.5489676,6
7/30/2015,78.99644875,Lu lich su Quang Ninh,369,FL_TRN_2015_07,0,10,206.6799964,0.049999997,78.9899992,23.28799937,training,9.626941681,0.250068247,6
7/30/2015,180,Lu lich su Quang Ninh,58,FL_TRN_2015_07,0,10,211.4099945,48.90999893,81.89999818,169.465997,training,3.704791784,0.445504338,6
7/30/2015,20.62919681,Lu lich su Quang Ninh,610,FL_TRN_2015_07,0,10,75.3099981,1.93,26.00999952,113.1529973,training,5.434343815,0.212317169,4
7/30/2015,24.94180562,Lu lich su Quang Ninh,582,FL_TRN_2015_07,0,10,138.6099968,0,41.70999898,45.59699896,training,15.46773148,0.243636668,4
7/30/2015,46.41685946,Lu lich su Quang Ninh,9,FL_TRN_2015_07,0,10,273.9999951,49.03999913,191.9399969,352.5269932,training,5.365647793,0.315581262,4
7/30/2015,75.69155093,Lu lich su Quang Ninh,779,FL_TRN_2015_07,0,10,188.8399949,7.549999617,57.07999845,103.8339976,training,11.11696529,0.456283987,4
7/30/2015,14.35321178,Lu lich su Quang Ninh,512,FL_TRN_2015_07,0,10,323.6599933,118.4999969,208.439996,547.9439882,training,15.41374779,0.322535902,4
7/30/2015,215.1465614,Lu lich su Quang Ninh,21,FL_TRN_2015_07,0,40,236.2699954,96.3799982,178.1799967,474.8979904,training,1.700939178,0.282119691,7
7/30/2015,76.24496629,Lu lich su Quang Ninh,125,FL_TRN_2015_07,0,10,220.749995,10.23999991,29.65999927,106.5759985,training,1.949632287,0.545278907,6
7/30/2015,316.6735182,Lu lich su Quang Ninh,268,FL_TRN_2015_07,0,10,363.739991,135.9899974,272.6699937,525.221989,training,17.30370331,0.338804513,4
7/30/2015,170.0636449,Lu lich su Quang Ninh,124,FL_TRN_2015_07,0,10,212.2999959,28.45999905,157.7699971,339.1929927,training,16.47911835,0.357622951,7
7/30/2015,125.2089765,Lu lich su Quang Ninh,523,FL_TRN_2015_07,0,10,359.3499911,63.27999821,204.1399948,359.0269923,training,13.42256737,0.289111465,4
7/30/2015,270,Lu lich su Quang Ninh,219,FL_TRN_2015_07,0,10,195.0099961,4.109999932,41.81999885,98.12799725,training,3.802613258,0.340275466,7
7/30/2015,94.94585569,Lu lich su Quang Ninh,698,FL_TRN_2015_07,0,10,416.3899881,80.72999809,324.5799904,419.1229909,training,15.72950268,0.435370117,4
7/30/2015,145.1386718,Lu lich su Quang Ninh,1129,FL_TRN_2015_07,0,30,176.9299954,93.36999707,136.4799959,92.50799786,training,12.24394798,0.43996492,4
7/30/2015,180,Lu lich su Quang Ninh,528,FL_TRN_2015_07,0,30,239.8299931,27.21999916,56.48999854,126.2029967,training,3.24275136,0.360882163,6
7/30/2015,122.9384574,Lu lich su Quang Ninh,315,FL_TRN_2015_07,0,40,254.1299946,6.98999979,81.17999809,120.4219969,training,1.705264807,0.332892418,4
7/30/2015,95.12491703,Lu lich su Quang Ninh,884,FL_TRN_2015_07,0,10,149.7399967,6.819999862,61.99999865,180.231996,training,19.92237282,0.30328697,4
7/30/2015,233.7190387,Lu lich su Quang Ninh,577,FL_TRN_2015_07,0,10,244.9399942,11.09999987,47.40999849,35.19199902,training,2.349754572,0.554040849,4
7/30/2015,109.3852828,Lu lich su Quang Ninh,851,FL_TRN_2015_07,0,30,171.4399966,29.91999952,50.31999898,126.5149968,training,5.571037769,0.499332398,4
7/30/2015,90,Lu lich su Quang Ninh,1006,FL_TRN_2015_07,0,10,158.909996,87.82999722,119.3899967,226.551994,training,15.26776123,0.53132093,4
7/30/2015,332.9607096,Lu lich su Quang Ninh,147,FL_TRN_2015_07,0,10,259.3199949,43.84999968,93.0499986,72.86999856,training,1.041196823,0.487600356,4
7/30/2015,135.518782,Lu lich su Quang Ninh,143,FL_TRN_2015_07,0,10,198.6299957,21.30999945,156.2899968,373.8259917,training,9.657149315,0.438535005,4
7/30/2015,134.5605327,Lu lich su Quang Ninh,2,FL_TRN_2015_07,0,10,153.8099969,35.90999878,81.46999785,40.8469986,training,0.660894573,0.445781559,4
7/30/2015,332.1249229,Lu lich su Quang Ninh,5,FL_TRN_2015_07,0,50,165.5999962,64.27999841,132.6899969,375.2269915,training,1.049117327,0.271135032,7
7/30/2015,83.26989978,Lu lich su Quang Ninh,160,FL_TRN_2015_07,0,40,179.1799954,66.48999836,100.1199973,326.3379934,training,3.950852633,0.337841213,4
7/30/2015,314.2033589,Lu lich su Quang Ninh,165,FL_TRN_2015_07,0,40,186.8799957,0,60.85999816,31.17799907,training,0.665117443,0.243388563,6
7/30/2015,270,Lu lich su Quang Ninh,5,FL_TRN_2015_07,0,40,125.909997,40.19999909,103.7799976,354.6569913,training,2.44626379,0.322909057,4
7/30/2015,226.423489,Lu lich su Quang Ninh,15,FL_TRN_2015_07,0,10,278.4999938,43.869999,201.4099949,360.3369909,training,2.017431974,0.325513214,4
7/30/2015,101.1100416,Lu lich su Quang Ninh,151,FL_TRN_2015_07,0,10,216.9299958,25.42999943,81.01999844,132.0219955,training,2.405228853,0.528317809,4
7/30/2015,164.279168,Lu lich su Quang Ninh,508,FL_TRN_2015_07,0,10,177.4899964,3.179999866,51.89999871,134.8199963,training,18.58967972,0.476208866,4
7/30/2015,123.0058501,Lu lich su Quang Ninh,188,FL_TRN_2015_07,0,10,212.8999949,6.789999792,34.79999905,115.0879977,training,1.702177525,0.340275466,4
7/30/2015,175.8199734,Lu lich su Quang Ninh,569,FL_TRN_2015_07,0,30,210.2199955,1.229999989,90.65999803,247.7729942,training,6.481956959,0.542680621,4
7/30/2015,100.9913297,Lu lich su Quang Ninh,708,FL_TRN_2015_07,0,10,201.6099948,0,28.35999935,61.3829982,training,18.75823975,0.314735919,6
7/30/2015,270,Lu lich su Quang Ninh,200,FL_TRN_2015_07,0,40,202.9199965,0.07,60.89999852,33.20299909,training,0.954400539,0.245841384,6
7/30/2015,45.44275831,Lu lich su Quang Ninh,-2,FL_TRN_2015_07,0,40,139.1699971,31.31999913,70.43999851,21.09699961,training,0.660933137,0.445781559,4
7/30/2015,45.8642651,Lu lich su Quang Ninh,17,FL_TRN_2015_07,0,40,96.10999798,0.029999999,32.77999941,41.16899914,training,1.331672072,0.219990209,4
7/30/2015,127.9790369,Lu lich su Quang Ninh,649,FL_TRN_2015_07,0,10,129.9199966,18.49999958,85.81999768,56.36799858,training,11.88419342,0.276459128,4
7/30/2015,0,Lu lich su Quang Ninh,105,FL_TRN_2015_07,0,10,162.2499954,31.15999871,68.48999764,121.741997,training,0.927409947,0.470589846,7
7/30/2015,145.5664534,Lu lich su Quang Ninh,211,FL_TRN_2015_07,0,10,290.6799931,17.39999938,72.61999873,101.6829976,training,1.686304688,0.381428927,6
7/30/2015,56.12029929,Lu lich su Quang Ninh,162,FL_TRN_2015_07,0,10,78.46999839,0,71.07999864,2.555999978,training,19.21175766,0,4
7/30/2015,152.9359517,Lu lich su Quang Ninh,265,FL_TRN_2015_07,0,10,130.3399968,75.5499982,122.049997,48.73799898,training,10.3029089,0.393204331,4
7/30/2015,90,Lu lich su Quang Ninh,609,FL_TRN_2015_07,0,30,231.849995,25.04999934,61.41999842,86.41399783,training,4.298863411,0.394093215,4
7/30/2015,280.7887112,Lu lich su Quang Ninh,232,FL_TRN_2015_07,0,10,300.9399936,82.22999827,208.4499955,362.6599909,training,2.475892305,0.409261554,4
7/30/2015,189.6514931,Lu lich su Quang Ninh,160,FL_TRN_2015_07,0,10,243.4599953,14.10999947,84.71999834,120.098997,training,2.820142508,0.548398495,4
7/30/2015,152.8765647,Lu lich su Quang Ninh,426,FL_TRN_2015_07,0,10,147.139997,6.699999852,53.63999864,77.71299803,training,2.083268881,0.424285442,4
7/30/2015,76.66994938,Lu lich su Quang Ninh,5,FL_TRN_2015_07,0,40,112.9699973,36.93999923,94.27999792,332.5819923,training,2.010560751,0.347706854,7
7/30/2015,214.4264797,Lu lich su Quang Ninh,212,FL_TRN_2015_07,0,30,215.0399944,0.509999998,87.50999858,85.81399737,training,1.686162114,0.287330389,7
7/30/2015,180,Lu lich su Quang Ninh,507,FL_TRN_2015_07,0,40,166.2099967,0,62.37999935,54.77599882,training,2.780288458,0.365615577,4
7/30/2015,294.3042607,Lu lich su Quang Ninh,270,FL_TRN_2015_07,0,30,89.94999816,10.77999993,76.0999987,62.7539982,training,13.27794456,0.347842932,4
7/30/2015,165.5967966,Lu lich su Quang Ninh,167,FL_TRN_2015_07,0,40,226.6499956,8.009999827,58.5799986,82.42999834,training,1.914464474,0.338910401,4
7/30/2015,303.0066122,Lu lich su Quang Ninh,15,FL_TRN_2015_07,0,40,79.87999784,0.399999989,33.85999904,43.14999923,training,1.702142596,0.227736384,4
7/30/2015,270,Lu lich su Quang Ninh,31,FL_TRN_2015_07,0,50,217.3999952,45.94999911,90.30999832,72.84599835,training,1.888177514,0.519251704,6
7/30/2015,273.3112999,Lu lich su Quang Ninh,502,FL_TRN_2015_07,0,10,293.7299941,50.52999875,173.3699963,369.7709924,training,15.65577984,0.289111465,4
7/30/2015,270,Lu lich su Quang Ninh,146,FL_TRN_2015_07,0,10,187.8699953,25.77999939,45.46999881,53.55999897,training,0.472505391,0.384124428,4
7/30/2015,295.9393553,Lu lich su Quang Ninh,181,FL_TRN_2015_07,0,30,244.7199937,10.89999956,75.89999769,88.70199832,training,3.177292585,0.342383057,6
7/30/2015,124.4622143,Lu lich su Quang Ninh,334,FL_TRN_2015_07,0,10,172.6699946,0.659999963,79.15999762,27.29499941,training,18.94667625,0.161111593,6
7/30/2015,134.4011506,Lu lich su Quang Ninh,861,FL_TRN_2015_07,0,30,170.1299958,13.42999962,68.39999814,59.56599881,training,0.662769139,0.479723364,4
7/30/2015,191.2362623,Lu lich su Quang Ninh,592,FL_TRN_2015_07,0,10,236.1999953,13.60999962,70.00999835,42.82499884,training,16.54532433,0.557328939,1
7/30/2015,133.4548723,Lu lich su Quang Ninh,5,FL_TRN_2015_07,0,50,125.909997,40.19999909,103.7799976,354.6569913,training,3.367423773,0.322909057,4
7/30/2015,123.5452669,Lu lich su Quang Ninh,360,FL_TRN_2015_07,0,10,246.429994,53.30999886,167.0199959,352.6799924,training,13.18938828,0.322036952,4
7/30/2015,276.9837912,Lu lich su Quang Ninh,753,FL_TRN_2015_07,0,10,160.0299962,43.64999957,76.69999839,75.76299825,training,7.583514214,0.508200705,4
7/30/2015,205.1948321,Lu lich su Quang Ninh,1252,FL_TRN_2015_07,0,30,186.9599958,11.86999983,60.22999868,119.7709973,training,11.13279533,0.484742403,4
7/30/2015,293.9758316,Lu lich su Quang Ninh,258,FL_TRN_2015_07,0,10,189.2399959,14.49999948,53.39999905,163.1649954,training,5.687459946,0.489397258,4
7/30/2015,230.7738937,Lu lich su Quang Ninh,853,FL_TRN_2015_07,0,10,173.9799959,59.24999865,99.39999775,62.08999839,training,3.66166091,0.552764177,4
7/30/2015,316.9175748,Lu lich su Quang Ninh,652,FL_TRN_2015_07,0,10,323.8799943,15.82999968,110.5399983,166.4449958,training,19.5255146,0.527139246,6
7/30/2015,169.1542334,Lu lich su Quang Ninh,16,FL_TRN_2015_07,0,10,135.6199969,39.98999933,113.8999973,377.8369904,training,5.179821014,0.304490328,7
7/30/2015,336.4108582,Lu lich su Quang Ninh,186,FL_TRN_2015_07,0,30,156.2699965,5.149999835,65.72999845,57.95999817,training,3.537707806,0.238219395,6
7/30/2015,107.4612096,Lu lich su Quang Ninh,237,FL_TRN_2015_07,0,10,244.9399941,59.03999832,117.2899967,291.6109935,training,1.545134187,0.460798144,4
7/30/2015,197.6132165,Lu lich su Quang Ninh,960,FL_TRN_2015_07,0,10,152.4899964,2.569999918,25.36999933,113.5559973,training,18.32421494,0.512575328,4
7/30/2015,242.2311335,Lu lich su Quang Ninh,1683,FL_TRN_2015_07,0,10,168.3599958,25.95999947,81.69999852,129.3939966,training,6.933496475,0.589766145,4
7/30/2015,0,Lu lich su Quang Ninh,0,FL_TRN_2015_07,0,80,168.089996,22.1099994,61.83999871,40.91899898,training,0,0.401487827,6
7/30/2015,180,Lu lich su Quang Ninh,153,FL_TRN_2015_07,0,10,252.9299941,28.90999886,68.51999804,132.6279972,training,7.378860474,0.522248626,6
7/30/2015,126.2038833,Lu lich su Quang Ninh,381,FL_TRN_2015_07,0,10,185.0599952,21.69999951,52.75999868,88.10299743,training,7.030673027,0.351953894,4
7/30/2015,189.7661421,Lu lich su Quang Ninh,1110,FL_TRN_2015_07,0,10,154.1499963,1.739999956,23.60999946,120.5819972,training,2.821106434,0.426000655,4
7/30/2015,132.8765504,Lu lich su Quang Ninh,827,FL_TRN_2015_07,0,30,166.569996,29.07999924,73.57999811,163.2059948,training,12.73560143,0.415339261,4
7/30/2015,15.4623794,Lu lich su Quang Ninh,132,FL_TRN_2015_07,0,10,140.3499964,2.66999995,54.85999887,150.2329964,training,7.17959547,0.447135448,4
7/30/2015,314.4206688,Lu lich su Quang Ninh,103,FL_TRN_2015_07,0,10,260.7099939,19.66999958,85.91999812,149.8319968,training,1.324900389,0.47754693,4
7/30/2015,83.99923657,Lu lich su Quang Ninh,660,FL_TRN_2015_07,0,10,183.5199942,0,64.98999822,29.75599951,training,17.20723915,0.287599742,6
7/30/2015,296.1290979,Lu lich su Quang Ninh,99,FL_TRN_2015_07,0,30,185.4799957,2.349999944,93.50999775,50.63799886,training,3.155868292,0.204540402,7
7/30/2015,301.0426918,Lu lich su Quang Ninh,683,FL_TRN_2015_07,0,10,164.3599969,15.71999944,42.41999896,80.58999859,training,7.156904221,0.407598138,4
7/30/2015,325.5053494,Lu lich su Quang Ninh,370,FL_TRN_2015_07,0,10,86.97999778,0.329999983,32.97999915,32.01799903,training,10.02460289,0.252059817,4
7/30/2015,252.1694635,Lu lich su Quang Ninh,18,FL_TRN_2015_07,0,40,117.6699974,0.50999999,54.99999886,92.82799854,training,1.514152169,0.238425359,7
7/30/2015,161.2509759,Lu lich su Quang Ninh,50,FL_TRN_2015_07,0,50,210.2299949,27.09999938,79.26999789,104.2269969,training,1.4688766,0.532758236,6
7/30/2015,103.530095,Lu lich su Quang Ninh,8,FL_TRN_2015_07,0,40,119.7899972,9.129999897,85.65999797,180.8029953,training,1.981400132,0.192453474,4
7/30/2015,0,Lu lich su Quang Ninh,41,FL_TRN_2015_07,0,40,196.429995,94.669998,164.9499959,391.9299904,training,2.317462683,0.274652511,4
7/30/2015,201.1619797,Lu lich su Quang Ninh,344,FL_TRN_2015_07,0,10,251.9099932,18.53999944,91.21999802,162.9399964,training,3.971867561,0.544389248,6
7/30/2015,270,Lu lich su Quang Ninh,44,FL_TRN_2015_07,0,50,136.1099965,9.009999795,81.35999768,192.7699951,training,2.406926394,0.28549698,7
7/30/2015,90,Lu lich su Quang Ninh,187,FL_TRN_2015_07,0,40,133.8299968,0,55.9199986,55.87999839,training,0.951284945,0.367427528,4
7/30/2015,160.5947834,Lu lich su Quang Ninh,197,FL_TRN_2015_07,0,10,117.5599976,8.569999691,70.36999891,41.32899892,training,15.35515118,0.259815991,4
