system:index,apex_date,aspect,detail,elevation,event_id,flood,is_agriculture,is_flood_prone,is_permanent_water,is_urban,land_cover,precip_14_day,precip_3_day,precip_7_day,precip_total,purpose,slope,soil_moisture,soil_type,.geo
1_74,2018-08-15,132.67036291126323,Lu DBSCL 2018,131,FL_TRN_2018_08,1,1,1,0,0,40,508.6489871479571,118.22999733686447,278.589993102476,149.01999717205763,training,1.3681658052965568,0.5800615549087524,4,"{""type"":""Point"",""coordinates"":[105.12440388657734,22.807017378507883]}"
1_96,2018-08-15,280.6075747694761,Lu DBSCL 2018,24,FL_TRN_2018_08,1,0,0,0,0,60,613.122986137867,28.559999115765095,144.24999622255564,259.6699933838099,training,5.025557636327816,0.5244860053062439,7,"{""type"":""Point"",""coordinates"":[105.65718377471542,20.54314925802601]}"
1_109,2018-08-15,26.91301727294922,Lu DBSCL 2018,2,FL_TRN_2018_08,1,1,1,0,0,40,460.3739879671484,132.4999968111515,256.40999357774854,329.09999320842326,training,6.216357231140137,0.47943854331970215,4,"{""type"":""Point"",""coordinates"":[105.2679860329853,9.936616313509168]}"
1_132,2018-08-15,333.0627136230469,Lu DBSCL 2018,3,FL_TRN_2018_08,1,1,1,0,0,40,277.64299294538796,116.689996721223,161.22999595105648,340.46999126300216,training,2.0798215866088867,0.3357802629470825,4,"{""type"":""Point"",""coordinates"":[104.8406187884165,10.274132559949525]}"
1_149,2018-08-15,125.68611907958984,Lu DBSCL 2018,934,FL_TRN_2018_08,1,0,0,0,0,10,293.06599310971797,21.52999927289784,149.76999648846686,334.3899911623448,training,29.03021812438965,0.5478301048278809,4,"{""type"":""Point"",""coordinates"":[103.63441682616333,20.98644877091989]}"
1_151,2018-08-15,289.90620872101573,Lu DBSCL 2018,738,FL_TRN_2018_08,1,0,0,0,0,10,403.66199135780334,173.27999618276954,294.0899928249419,77.71999806165695,training,15.921467020708555,0.3145626187324524,4,"{""type"":""Point"",""coordinates"":[108.26271697803676,15.06216523528588]}"
1_157,2018-08-15,45.454063415527344,Lu DBSCL 2018,2,FL_TRN_2018_08,1,1,1,0,0,40,327.65699105151,151.09999557211995,216.8099940661341,288.98999303020537,training,1.3219553232192993,0.49885374307632446,4,"{""type"":""Point"",""coordinates"":[105.32084276826764,10.174825042174367]}"
1_179,2018-08-15,100.98548126220703,Lu DBSCL 2018,985,FL_TRN_2018_08,1,0,0,0,0,30,263.64899191632867,45.649998750537634,129.23999664373696,247.2699945513159,training,23.0129451751709,0.5545837879180908,4,"{""type"":""Point"",""coordinates"":[103.24395159688785,21.288615105563117]}"
1_181,2018-08-15,225.44387817382812,Lu DBSCL 2018,3,FL_TRN_2018_08,1,1,1,0,0,40,235.86899475753307,108.68999779969454,174.15999619662762,188.8699967917055,training,3.959538221359253,0.49359798431396484,4,"{""type"":""Point"",""coordinates"":[105.97922331758508,10.060744737995943]}"
1_199,2018-08-15,290.72850629737934,Lu DBSCL 2018,349,FL_TRN_2018_08,1,0,0,0,0,10,230.2049940843135,92.11999732255936,211.3999944794923,88.6699981521815,training,17.752531398053783,0.37323448061943054,6,"{""type"":""Point"",""coordinates"":[108.71868278423949,13.313710932047531]}"
