system:index,apex_date,aspect,detail,elevation,event_id,flood,is_agriculture,is_flood_prone,is_permanent_water,is_urban,land_cover,precip_14_day,precip_3_day,precip_7_day,precip_total,purpose,slope,soil_moisture,soil_type,.geo
1_2,2018-06-26,320.7455552065138,"Lu quet Lai Chau, Ha Giang",776,FL_TRN_2018_06,1,0,0,0,0,10,54.139998845756054,28.369999557733536,29.94999954290688,3.459999918937683,training,5.9672162967384095,0.0,4,"{""type"":""Point"",""coordinates"":[109.14420339470118,11.76363119011248]}"
1_47,2018-06-26,153.09742736816406,"Lu quet Lai Chau, Ha Giang",0,FL_TRN_2018_06,1,1,1,0,0,40,215.87999519519508,5.959999913349748,117.36999801546335,47.19999954290688,training,2.0791823863983154,0.3959948420524597,1,"{""type"":""Point"",""coordinates"":[105.51887115459539,9.7881176225488]}"
1_58,2018-06-26,71.83456690865991,"Lu quet Lai Chau, Ha Giang",2,FL_TRN_2018_06,1,1,1,0,0,40,211.33999391645193,3.1699999403208494,103.26999733410776,68.10999814793468,training,2.972329991675358,0.0,4,"{""type"":""Point"",""coordinates"":[104.92928499543763,10.151731857211526]}"
1_78,2018-06-26,48.65667346170884,"Lu quet Lai Chau, Ha Giang",256,FL_TRN_2018_06,1,0,0,0,0,10,253.04999278113246,46.84999853000045,73.77999762818217,40.19999918527901,training,24.967146445374475,0.35526272654533386,4,"{""type"":""Point"",""coordinates"":[106.6842989442017,22.154918174858636]}"
1_104,2018-06-26,331.8155822753906,"Lu quet Lai Chau, Ha Giang",681,FL_TRN_2018_06,1,0,0,0,0,30,218.09999454580247,68.4499977864325,157.2899955417961,213.19999582506716,training,10.40658187866211,0.5273313522338867,4,"{""type"":""Point"",""coordinates"":[104.38938340438462,21.075794202661577]}"
1_107,2018-06-26,45.38619369563791,"Lu quet Lai Chau, Ha Giang",1,FL_TRN_2018_06,1,1,1,0,0,40,269.93999495729804,9.179999724030495,110.24999775923789,110.47999746352434,training,1.3203677325917904,0.6207171082496643,1,"{""type"":""Point"",""coordinates"":[104.93001415540311,9.38720468686275]}"
1_117,2018-06-26,84.49297712762893,"Lu quet Lai Chau, Ha Giang",843,FL_TRN_2018_06,1,0,0,0,0,10,80.00999836996198,10.699999699369073,18.209999537095428,114.20999757014215,training,18.64226112270066,0.3374481499195099,4,"{""type"":""Point"",""coordinates"":[108.07889855527172,15.393573700021136]}"
1_124,2018-06-26,56.70140623590812,"Lu quet Lai Chau, Ha Giang",0,FL_TRN_2018_06,1,0,0,0,0,30,198.0799947939813,5.71999990940094,127.52999674156308,45.71999894082546,training,3.3749148470053956,0.3875046372413635,1,"{""type"":""Point"",""coordinates"":[105.51288142881047,9.848606039439318]}"
1_149,2018-06-26,125.68611907958984,"Lu quet Lai Chau, Ha Giang",934,FL_TRN_2018_06,1,0,0,0,0,10,180.21999728493392,68.31999856978655,153.19999761134386,287.11999344453216,training,29.03021812438965,0.5478301048278809,4,"{""type"":""Point"",""coordinates"":[103.63441682617146,20.98644877092006]}"
1_175,2018-06-26,252.71665079426393,"Lu quet Lai Chau, Ha Giang",8,FL_TRN_2018_06,1,0,0,0,0,60,122.55999686941504,6.9099997989833355,17.3799996227026,270.0499953068793,training,3.1187574944966667,0.5183915495872498,7,"{""type"":""Point"",""coordinates"":[107.16024972724664,21.02240821221646]}"
1_187,2018-06-26,151.5507890130475,"Lu quet Lai Chau, Ha Giang",797,FL_TRN_2018_06,1,0,0,0,0,10,517.9299866836518,189.74999546445906,200.57999518886209,60.37999797612429,training,4.211909838651854,0.5192679762840271,4,"{""type"":""Point"",""coordinates"":[106.36391027869419,22.65609776001437]}"
1_190,2018-06-26,134.5572539911307,"Lu quet Lai Chau, Ha Giang",-2,FL_TRN_2018_06,1,1,1,0,0,40,261.77999470569193,47.80999910272658,121.60999780520797,64.28999851644039,training,1.3216901533574599,0.4538170099258423,4,"{""type"":""Point"",""coordinates"":[106.6097426715732,10.04740842841382]}"
1_210,2018-06-26,45.60185163303415,"Lu quet Lai Chau, Ha Giang",154,FL_TRN_2018_06,1,0,0,0,0,10,54.139998845756054,28.369999557733536,29.94999954290688,3.459999918937683,training,13.027444557979088,0.0,4,"{""type"":""Point"",""coordinates"":[109.15468808995975,11.703896918216229]}"
1_224,2018-06-26,97.84790082684833,"Lu quet Lai Chau, Ha Giang",1154,FL_TRN_2018_06,1,0,0,0,0,10,50.15999839827418,1.5399999748915434,6.6999998185783625,60.69999879412353,training,13.338920092702509,0.4242105782032013,4,"{""type"":""Point"",""coordinates"":[107.93695956906798,15.237845419573086]}"
1_271,2018-06-26,314.2558820608807,"Lu quet Lai Chau, Ha Giang",15,FL_TRN_2018_06,1,1,1,0,0,40,85.04999892413616,27.050000194460154,27.340000186115503,10.45999976620078,training,1.32880425515217,0.2733336091041565,4,"{""type"":""Point"",""coordinates"":[109.11219012698056,13.003088697499257]}"
1_277,2018-06-26,57.30255909755586,"Lu quet Lai Chau, Ha Giang",56,FL_TRN_2018_06,1,0,0,0,0,60,54.93999873846769,4.190000012516975,9.819999884814024,249.89999271184206,training,6.835114903267357,0.3011872172355652,4,"{""type"":""Point"",""coordinates"":[107.70609647923223,15.658170652705559]}"
1_289,2018-06-26,180.0,"Lu quet Lai Chau, Ha Giang",2,FL_TRN_2018_06,1,1,1,0,0,40,177.479995328933,6.47999974898994,47.36999838426709,46.639998538419604,training,2.7802885155642585,0.487785667181015,4,"{""type"":""Point"",""coordinates"":[106.4584337830264,20.63508232360607]}"
1_337,2018-06-26,180.0,"Lu quet Lai Chau, Ha Giang",238,FL_TRN_2018_06,1,0,0,0,0,10,184.79999731108546,6.489999817684293,28.689999371767044,92.2299977876246,training,9.195145606994629,0.35150906443595886,4,"{""type"":""Point"",""coordinates"":[104.62870397352772,19.324196446659702]}"
1_352,2018-06-26,348.8903761859182,"Lu quet Lai Chau, Ha Giang",321,FL_TRN_2018_06,1,0,0,0,0,10,180.24999636039138,4.319999936968088,49.79999876767397,74.86999850720167,training,24.008993458752723,0.29639431834220886,4,"{""type"":""Point"",""coordinates"":[104.55430028389897,19.428186831177864]}"
1_377,2018-06-26,78.0645894714106,"Lu quet Lai Chau, Ha Giang",654,FL_TRN_2018_06,1,0,0,0,0,10,121.68999749235809,1.2699999809265137,22.06999971717596,37.62999885715544,training,21.373897844930987,0.3621915280818939,6,"{""type"":""Point"",""coordinates"":[108.63288383950898,13.50737425556304]}"
1_380,2018-06-26,160.3906165831713,"Lu quet Lai Chau, Ha Giang",1,FL_TRN_2018_06,1,0,0,0,0,30,199.2699949592352,3.449999937787652,34.909999039024115,42.64999884366989,training,2.9511723178448888,0.4009511470794678,4,"{""type"":""Point"",""coordinates"":[106.56501899775695,20.671118609984553]}"
1_396,2018-06-26,239.99261794060348,"Lu quet Lai Chau, Ha Giang",8,FL_TRN_2018_06,1,0,0,0,0,10,64.10999857261777,4.7799998968839645,20.419999536126852,33.17999904602766,training,5.546314947163201,0.3424406051635742,4,"{""type"":""Point"",""coordinates"":[108.38121197268825,15.732473290321275]}"
1_397,2018-06-26,125.96977996826172,"Lu quet Lai Chau, Ha Giang",518,FL_TRN_2018_06,1,0,0,0,0,10,69.46999858878553,36.93999901227653,37.539999002590775,7.889999790117145,training,13.930643081665039,0.3468319773674011,4,"{""type"":""Point"",""coordinates"":[108.93619898344836,14.613535394611622]}"
1_429,2018-06-26,225.4866115777079,"Lu quet Lai Chau, Ha Giang",3,FL_TRN_2018_06,1,0,0,0,0,60,173.679995669052,50.17999875731766,95.9599975105375,60.89999880082905,training,1.3227186201378116,0.4296952784061432,4,"{""type"":""Point"",""coordinates"":[106.16482865571832,10.53067836451762]}"
1_450,2018-06-26,296.1679604825762,"Lu quet Lai Chau, Ha Giang",0,FL_TRN_2018_06,1,1,1,0,0,40,173.0099963787943,56.05999938584864,117.01999775320292,43.96999880671501,training,2.102190974037402,0.40008318424224854,1,"{""type"":""Point"",""coordinates"":[106.2735947131511,10.663080766563628]}"
1_500,2018-06-26,128.252365516409,"Lu quet Lai Chau, Ha Giang",335,FL_TRN_2018_06,1,0,0,0,0,10,59.43999854102731,4.729999886825681,10.579999765381217,0.029999999329447746,training,18.772894286474987,0.33233824372291565,4,"{""type"":""Point"",""coordinates"":[109.15026973128506,13.988595499681235]}"
1_507,2018-06-26,225.48355102539062,"Lu quet Lai Chau, Ha Giang",4,FL_TRN_2018_06,1,1,1,0,0,40,234.69999510236084,0.880000002682209,153.04999672807753,56.24999872036278,training,1.3226466178894043,0.38929206132888794,1,"{""type"":""Point"",""coordinates"":[104.85474224134326,10.498224502931295]}"
1_526,2018-06-26,193.47402695555755,"Lu quet Lai Chau, Ha Giang",531,FL_TRN_2018_06,1,0,0,0,0,30,320.44999365881085,185.92999663762748,206.8599964119494,307.2499921992421,training,8.520312258756212,0.5497572422027588,4,"{""type"":""Point"",""coordinates"":[103.83211447668842,21.955996643503713]}"
1_648,2018-06-26,84.94832566371745,"Lu quet Lai Chau, Ha Giang",614,FL_TRN_2018_06,1,0,0,0,0,10,335.8299906607717,190.1399947591126,234.90999339707196,325.4199933409691,training,20.187343467607892,0.5551469922065735,4,"{""type"":""Point"",""coordinates"":[103.54042080272927,21.848346566999513]}"
1_704,2018-06-26,94.63501250780855,"Lu quet Lai Chau, Ha Giang",287,FL_TRN_2018_06,1,0,0,0,0,10,123.78999716602266,14.299999782815576,19.12999959103763,307.35999205335975,training,21.833389345880278,0.5346921682357788,4,"{""type"":""Point"",""coordinates"":[107.10036160159859,21.19762411779361]}"
1_717,2018-06-26,116.0127478263899,"Lu quet Lai Chau, Ha Giang",26,FL_TRN_2018_06,1,1,1,0,0,40,69.97999811731279,10.569999981671572,14.999999878928065,42.10999885387719,training,2.1138421275207335,0.3648194372653961,4,"{""type"":""Point"",""coordinates"":[109.06288095862956,12.574178092108733]}"
1_750,2018-06-26,68.81301879882812,"Lu quet Lai Chau, Ha Giang",483,FL_TRN_2018_06,1,0,0,0,0,10,237.6699953172356,36.349998926743865,108.82999815046787,59.079998165369034,training,15.042352676391602,0.5409817695617676,6,"{""type"":""Point"",""coordinates"":[107.64458593301502,14.296054080996988]}"
1_837,2018-06-26,93.13407536541462,"Lu quet Lai Chau, Ha Giang",923,FL_TRN_2018_06,1,0,0,0,0,10,306.61999308876693,143.35999719426036,253.17999416962266,296.47999212518334,training,16.493246830849337,0.5651095509529114,4,"{""type"":""Point"",""coordinates"":[103.639261153609,21.435483223390094]}"
