system:index,apex_date,aspect,detail,elevation,event_id,flood,is_agriculture,is_flood_prone,is_permanent_water,is_urban,land_cover,precip_14_day,precip_3_day,precip_7_day,precip_total,purpose,slope,soil_moisture,soil_type,.geo
2_1578,2022-10-11,180.0,Lu tai Da Nang (Dot 1),352,FL_TRN_2022_10_A,0,0,0,0,0,10,705.5629819482565,18.979999335482717,68.73999788984656,946.1399793494493,training,5.547544894612033,0.520515501499176,4,"{""type"":""Point"",""coordinates"":[107.77810897306387,15.41731454791899]}"
2_1580,2022-10-11,68.51671984088229,Lu tai Da Nang (Dot 1),4,FL_TRN_2022_10_A,0,1,1,0,0,40,459.62399037368596,118.27999835275114,186.74999647401273,109.72999748028815,training,5.05194473211965,0.5794060826301575,4,"{""type"":""Point"",""coordinates"":[104.78210928025776,10.284356113994766]}"
2_1581,2022-10-11,63.840889090664604,Lu tai Da Nang (Dot 1),1941,FL_TRN_2022_10_A,0,0,0,0,0,30,158.73799736984074,2.4099999144673347,41.929998921230435,9.359999883919954,training,18.28683624419499,0.41428282856941223,4,"{""type"":""Point"",""coordinates"":[104.25577949633858,21.909325896472986]}"
2_1590,2022-10-11,270.0,Lu tai Da Nang (Dot 1),4,FL_TRN_2022_10_A,0,0,1,0,1,50,698.2779852654785,142.11999643594027,306.76999322511256,282.97999098710716,training,1.9428544037753233,0.4663596749305725,7,"{""type"":""Point"",""coordinates"":[106.67437738772561,17.368185857706766]}"
2_1594,2022-10-11,70.713351204396,Lu tai Da Nang (Dot 1),1617,FL_TRN_2022_10_A,0,0,0,0,0,10,37.23599913716316,0.3499999865889549,14.899999737739563,0.7499999776482582,training,8.364289643064152,0.41408368945121765,4,"{""type"":""Point"",""coordinates"":[103.42491429271324,21.067826332388236]}"
2_1597,2022-10-11,-0.0,Lu tai Da Nang (Dot 1),4,FL_TRN_2022_10_A,0,0,0,0,0,10,511.5449867025018,200.6099952403456,273.6799935605377,93.82999771274626,training,2.7802885155287553,0.601717472076416,4,"{""type"":""Point"",""coordinates"":[106.1073793467029,9.92319237496798]}"
2_1598,2022-10-11,67.29070281982422,Lu tai Da Nang (Dot 1),121,FL_TRN_2022_10_A,0,0,0,0,0,10,726.4919822625816,202.25999454781413,239.81999362818897,364.5699922181666,training,16.357925415039062,0.5723898410797119,4,"{""type"":""Point"",""coordinates"":[106.88766991963932,16.94790752214443]}"
2_1599,2022-10-11,296.1309288493339,Lu tai Da Nang (Dot 1),38,FL_TRN_2022_10_A,0,0,0,0,0,10,337.62299237959087,80.09999834746122,135.35999670997262,84.62999763712287,training,4.204248520110673,0.5290838479995728,6,"{""type"":""Point"",""coordinates"":[106.72467573233493,11.148899157724824]}"
2_1606,2022-10-11,332.96667088611565,Lu tai Da Nang (Dot 1),21,FL_TRN_2022_10_A,0,0,0,0,0,10,411.53399080596864,122.08999632671475,219.26999508216977,68.31999778933823,training,2.0815960934802944,0.47934725880622864,6,"{""type"":""Point"",""coordinates"":[106.09430644017071,11.508250491209184]}"
2_1610,2022-10-11,349.96636962890625,Lu tai Da Nang (Dot 1),699,FL_TRN_2022_10_A,0,0,0,0,0,30,149.9019967764616,0.569999985396862,14.939999483525753,4.109999913722277,training,16.48377799987793,0.45430228114128113,4,"{""type"":""Point"",""coordinates"":[104.06144438325441,19.613598514118966]}"
2_1618,2022-10-11,331.6075495844807,Lu tai Da Nang (Dot 1),861,FL_TRN_2022_10_A,0,1,1,0,0,40,89.79699763655663,5.659999892115593,25.03999936580658,10.059999711811543,training,8.374356339866896,0.3960484266281128,4,"{""type"":""Point"",""coordinates"":[103.57416348743777,22.328144456342507]}"
2_1620,2022-10-11,-0.0,Lu tai Da Nang (Dot 1),1,FL_TRN_2022_10_A,0,0,1,0,0,90,471.86998926475644,78.15999874472618,269.9799946267158,77.63999805785716,training,1.854334168853263,0.0,4,"{""type"":""Point"",""coordinates"":[104.84698210264764,8.848257984767852]}"
2_1628,2022-10-11,180.0,Lu tai Da Nang (Dot 1),32,FL_TRN_2022_10_A,0,0,0,0,0,10,389.23099122941494,111.95999695546925,213.31999438256025,64.61999812349677,training,3.704791833671086,0.4614967703819275,6,"{""type"":""Point"",""coordinates"":[105.89612943456397,11.555771619259154]}"
2_1636,2022-10-11,45.38532177920267,Lu tai Da Nang (Dot 1),0,FL_TRN_2022_10_A,0,0,0,0,0,95,601.3099860791117,144.82999615184963,278.63999239355326,75.34999825060368,training,1.320347374447783,0.0,4,"{""type"":""Point"",""coordinates"":[106.17588800162265,9.376361746765998]}"
2_1640,2022-10-11,252.43330516783482,Lu tai Da Nang (Dot 1),10,FL_TRN_2022_10_A,0,1,1,0,0,40,676.5599825736135,111.51999591477215,256.5199926327914,107.39999777823687,training,3.070095129326512,0.45711952447891235,7,"{""type"":""Point"",""coordinates"":[106.1342800599228,18.243300965779973]}"
2_1643,2022-10-11,-0.0,Lu tai Da Nang (Dot 1),-1,FL_TRN_2022_10_A,0,0,0,0,0,60,497.68898910470307,162.52999677881598,218.17999529466033,123.12999725155532,training,2.7802885155287553,0.5613094568252563,4,"{""type"":""Point"",""coordinates"":[106.56086227413873,10.230579778445007]}"
2_1644,2022-10-11,-0.0,Lu tai Da Nang (Dot 1),3,FL_TRN_2022_10_A,0,1,1,0,0,40,480.30698821507394,79.15999836474657,111.65999770350754,117.52999775484204,training,7.3788604736328125,0.5090306997299194,4,"{""type"":""Point"",""coordinates"":[106.58031001033068,10.748521406949749]}"
2_1656,2022-10-11,225.40273878747652,Lu tai Da Nang (Dot 1),0,FL_TRN_2022_10_A,0,0,0,1,0,80,469.3599882610142,89.06999842450023,194.00999546423554,150.15999671444297,training,1.3207542164778336,0.5946303009986877,4,"{""type"":""Point"",""coordinates"":[104.98389368428188,9.585148510412939]}"
2_1657,2022-10-11,-0.0,Lu tai Da Nang (Dot 1),88,FL_TRN_2022_10_A,0,0,0,0,0,10,276.8659962620586,43.81999932602048,85.87999874912202,123.80999728664756,training,1.8543341688295631,0.5555592179298401,4,"{""type"":""Point"",""coordinates"":[107.03464646006829,11.240563257142705]}"
2_1660,2022-10-11,270.0,Lu tai Da Nang (Dot 1),5,FL_TRN_2022_10_A,0,1,1,0,0,40,457.32698947004974,116.68999780900776,210.3299955110997,136.7999961655587,training,0.9444680012239686,0.670518159866333,4,"{""type"":""Point"",""coordinates"":[105.05644893895561,10.907095918645568]}"
2_1663,2022-10-11,334.0920104980469,Lu tai Da Nang (Dot 1),765,FL_TRN_2022_10_A,0,0,0,0,0,10,404.9019877240062,5.399999877437949,56.78999785147607,345.9899909161031,training,17.010967254638672,0.49325475096702576,6,"{""type"":""Point"",""coordinates"":[107.71780132258344,14.350924158323362]}"
2_1664,2022-10-11,266.8800758426646,Lu tai Da Nang (Dot 1),998,FL_TRN_2022_10_A,0,0,0,0,0,60,70.99599829316139,0.1899999976158142,39.10999898612499,0.12999999895691872,training,16.563895163871795,0.39759835600852966,4,"{""type"":""Point"",""coordinates"":[103.6412625011652,22.086678412249345]}"
2_1667,2022-10-11,225.3558736744218,Lu tai Da Nang (Dot 1),1,FL_TRN_2022_10_A,0,0,0,1,0,80,517.6139876656234,71.71999828703701,217.81999456509948,131.51999667659402,training,1.3196603462625374,0.6617883443832397,4,"{""type"":""Point"",""coordinates"":[105.14686342639096,9.012500960601303]}"
2_1676,2022-10-11,295.497802734375,Lu tai Da Nang (Dot 1),189,FL_TRN_2022_10_A,0,0,0,0,0,10,758.496985334903,67.32999787479639,197.61999491602182,306.629994565621,training,6.436491966247559,0.5663418769836426,7,"{""type"":""Point"",""coordinates"":[106.25627475606255,17.473246326080133]}"
2_1685,2022-10-11,-0.0,Lu tai Da Nang (Dot 1),2,FL_TRN_2022_10_A,0,0,0,0,0,60,442.1279898006469,61.74999819137156,203.76999442651868,98.01999794133008,training,0.0,0.6495640277862549,4,"{""type"":""Point"",""coordinates"":[104.9734515821503,9.05388194156042]}"
2_1690,2022-10-11,270.0,Lu tai Da Nang (Dot 1),36,FL_TRN_2022_10_A,0,0,1,0,1,50,361.25399089977145,67.69999791122973,125.49999618902802,75.3099984396249,training,1.8898954501878567,0.5307164192199707,6,"{""type"":""Point"",""coordinates"":[106.52709537071982,11.136318272949701]}"
2_1691,2022-10-11,71.77240952417243,Lu tai Da Nang (Dot 1),1,FL_TRN_2022_10_A,0,0,0,0,0,95,559.7469876073301,79.18999794498086,254.64999462850392,105.07999814115465,training,2.962554133488117,0.0,4,"{""type"":""Point"",""coordinates"":[105.34933647532193,8.903344333266084]}"
2_1693,2022-10-11,71.55345916748047,Lu tai Da Nang (Dot 1),593,FL_TRN_2022_10_A,0,0,0,0,0,10,725.3569871317595,42.55999901518226,106.54999772273004,944.0099751166999,training,24.722885131835938,0.5471572875976562,4,"{""type"":""Point"",""coordinates"":[107.76449295100299,15.503744666531794]}"
2_1694,2022-10-11,26.856903364345538,Lu tai Da Nang (Dot 1),3,FL_TRN_2022_10_A,0,0,0,1,0,80,573.1259865332395,85.54999800398946,230.2699944600463,118.64999649114907,training,2.0783433351806284,0.5761305689811707,4,"{""type"":""Point"",""coordinates"":[105.49728969736653,9.106879667493539]}"
2_1697,2022-10-11,56.81113655975019,Lu tai Da Nang (Dot 1),2,FL_TRN_2022_10_A,0,1,1,0,0,40,392.82999092713,72.67999788559973,134.53999663330615,77.14999796077609,training,3.3847671595210067,0.5307164192199707,4,"{""type"":""Point"",""coordinates"":[106.4926270425771,11.14030773059423]}"
2_1700,2022-10-11,145.94884496290035,Lu tai Da Nang (Dot 1),1,FL_TRN_2022_10_A,0,0,0,0,0,60,595.0869859866798,147.31999775208533,298.06999348662794,86.00999823771417,training,3.3544544990760246,0.5234262943267822,4,"{""type"":""Point"",""coordinates"":[106.10716121594938,9.434853937149835]}"
2_1702,2022-10-11,115.63764190673828,Lu tai Da Nang (Dot 1),6,FL_TRN_2022_10_A,0,0,0,0,0,30,839.424979807809,158.4199955277145,264.9499925598502,1045.7899785395712,training,2.1426053047180176,0.5752701759338379,4,"{""type"":""Point"",""coordinates"":[107.95825536792337,16.289962337899738]}"
2_1707,2022-10-11,206.98895552140527,Lu tai Da Nang (Dot 1),2,FL_TRN_2022_10_A,0,0,0,0,0,10,376.3409916777164,84.31999721564353,126.06999612599611,110.26999833062291,training,2.080775164943198,0.5350157618522644,6,"{""type"":""Point"",""coordinates"":[106.33238097008002,10.955936840337255]}"
2_1712,2022-10-11,97.55509185791016,Lu tai Da Nang (Dot 1),419,FL_TRN_2022_10_A,0,0,0,0,0,10,35.13999895937741,0.8099999837577343,16.27999946847558,3.679999887943268,training,7.018943786621094,0.4858554005622864,4,"{""type"":""Point"",""coordinates"":[103.546445061408,21.810522129432183]}"
2_1716,2022-10-11,154.2582078423618,Lu tai Da Nang (Dot 1),732,FL_TRN_2022_10_A,0,0,0,0,0,10,447.62999175302684,15.55999955907464,70.9599978197366,364.3599928468466,training,15.08652414149177,0.38339120149612427,6,"{""type"":""Point"",""coordinates"":[107.64707734132901,14.566726416111667]}"
2_1717,2022-10-11,56.708653434416945,Lu tai Da Nang (Dot 1),2,FL_TRN_2022_10_A,0,0,0,0,0,10,497.19798811897635,199.34999569132924,270.2999937944114,91.95999757759273,training,3.3755634004106896,0.6072027683258057,4,"{""type"":""Point"",""coordinates"":[106.05453741285885,9.938868963996553]}"
2_1720,2022-10-11,19.149852752685547,Lu tai Da Nang (Dot 1),22,FL_TRN_2022_10_A,0,0,0,0,0,10,765.4559836313128,126.84999734722078,229.93999510630965,1007.4199773818254,training,5.870299816131592,0.5838258862495422,4,"{""type"":""Point"",""coordinates"":[107.71163376461799,16.279206977129785]}"
2_1723,2022-10-11,90.0,Lu tai Da Nang (Dot 1),0,FL_TRN_2022_10_A,0,0,0,0,0,10,478.1599891856313,147.79999569244683,174.1499950364232,130.94999708607793,training,3.767169661358038,0.5340631008148193,4,"{""type"":""Point"",""coordinates"":[106.54030066841219,10.455962310604443]}"
2_1729,2022-10-11,176.5641326904297,Lu tai Da Nang (Dot 1),954,FL_TRN_2022_10_A,0,0,0,0,0,10,131.01499782316387,4.909999847412109,38.83999918401241,13.179999560117722,training,16.27276611328125,0.38142603635787964,6,"{""type"":""Point"",""coordinates"":[103.93796042421229,22.28266320731326]}"
2_1733,2022-10-11,180.0,Lu tai Da Nang (Dot 1),1,FL_TRN_2022_10_A,0,0,0,1,0,80,536.3259863331914,238.0199926942587,309.42999090626836,110.36999744549394,training,0.9274099469184875,0.0,4,"{""type"":""Point"",""coordinates"":[106.57242947558262,9.852642786190923]}"
2_1736,2022-10-11,90.0,Lu tai Da Nang (Dot 1),2,FL_TRN_2022_10_A,0,0,0,0,0,10,417.25998970493674,89.7899973243475,110.42999673634768,115.85999772883952,training,1.8876920159011983,0.5530019998550415,1,"{""type"":""Point"",""coordinates"":[106.82969246328322,10.791127194015397]}"
2_1737,2022-10-11,34.061052508843616,Lu tai Da Nang (Dot 1),1,FL_TRN_2022_10_A,0,0,0,0,0,60,576.4219862576574,199.1299947798252,317.34999206475914,96.2699975296855,training,3.35484530424421,0.0,4,"{""type"":""Point"",""coordinates"":[106.40475775914206,9.562507889617645]}"
2_1759,2022-10-11,45.42229798801123,Lu tai Da Nang (Dot 1),1,FL_TRN_2022_10_A,0,1,1,0,0,40,553.9829870909452,217.9699944704771,294.1399928648025,110.51999651826918,training,1.3212115422059645,0.5711416602134705,4,"{""type"":""Point"",""coordinates"":[106.37524740213694,9.813697249833291]}"
2_1760,2022-10-11,313.7192889758938,Lu tai Da Nang (Dot 1),144,FL_TRN_2022_10_A,0,0,0,0,0,10,967.2769769448787,303.8799926992506,377.9899910055101,332.1199917346239,training,2.6820397808675924,0.5834055542945862,4,"{""type"":""Point"",""coordinates"":[106.76328156724443,17.007340762131953]}"
