system:index,apex_date,aspect,detail,elevation,event_id,flood,is_agriculture,is_flood_prone,is_permanent_water,is_urban,land_cover,precip_14_day,precip_3_day,precip_7_day,precip_total,purpose,slope,soil_moisture,soil_type,.geo
1_6,2018-11-20,203.65080887631214,"Lu Quang Nam, Quang Ngai",267,FL_TRN_2018_11,1,0,0,0,0,10,155.95999609306455,39.579999005421996,89.13999774679542,67.23999831266701,training,7.051930090042653,0.4356538951396942,4,"{""type"":""Point"",""coordinates"":[107.25263041037377,11.876164041843401]}"
1_11,2018-11-20,161.1547193686195,"Lu Quang Nam, Quang Ngai",412,FL_TRN_2018_11,1,1,1,0,0,40,172.76999604329467,105.18999724276364,106.96999719925225,107.80999770015478,training,2.937501338843433,0.31487298011779785,4,"{""type"":""Point"",""coordinates"":[108.03193186053409,12.411882864928357]}"
1_47,2018-11-20,153.09742736816406,"Lu Quang Nam, Quang Ngai",0,FL_TRN_2018_11,1,1,1,0,0,40,207.01999515853822,53.44999912939966,110.04999733529985,50.00999919325113,training,2.0791823863983154,0.6316074132919312,1,"{""type"":""Point"",""coordinates"":[105.51887115459539,9.7881176225488]}"
1_61,2018-11-20,295.1500769277344,"Lu Quang Nam, Quang Ngai",74,FL_TRN_2018_11,1,1,1,0,0,40,39.24999871477485,6.889999844133854,23.019999235868454,6.459999918937683,training,8.662895566797184,0.33905526995658875,4,"{""type"":""Point"",""coordinates"":[105.48500549990423,20.11527270997019]}"
1_66,2018-11-20,115.22448853992648,"Lu Quang Nam, Quang Ngai",5,FL_TRN_2018_11,1,1,1,0,0,40,92.15999750420451,0.3499999921768904,37.71999897621572,14.809999451041222,training,2.175315004039842,0.3623983561992645,7,"{""type"":""Point"",""coordinates"":[105.72622559061736,19.58022848382068]}"
1_76,2018-11-20,21.115333557128906,"Lu Quang Nam, Quang Ngai",588,FL_TRN_2018_11,1,0,0,0,0,10,137.3199966866523,59.1399987693876,59.15999876894057,157.30999834463,training,15.51711654663086,0.294484943151474,4,"{""type"":""Point"",""coordinates"":[108.88366870275163,13.81729864128554]}"
1_109,2018-11-20,26.91301727294922,"Lu Quang Nam, Quang Ngai",2,FL_TRN_2018_11,1,1,1,0,0,40,313.7199922092259,76.68999818712473,158.44999616593122,62.07999864779413,training,6.216357231140137,0.654654860496521,4,"{""type"":""Point"",""coordinates"":[105.2679860329853,9.936616313509168]}"
1_124,2018-11-20,56.70140623590812,"Lu Quang Nam, Quang Ngai",0,FL_TRN_2018_11,1,0,0,0,0,30,258.41999445296824,80.15999809280038,153.67999641783535,49.11999865621328,training,3.3749148470053956,0.6417480707168579,1,"{""type"":""Point"",""coordinates"":[105.51288142881047,9.848606039439318]}"
1_132,2018-11-20,333.0627136230469,"Lu Quang Nam, Quang Ngai",3,FL_TRN_2018_11,1,1,1,0,0,40,182.49999567866325,36.699999229982495,60.539998922497034,49.939998883754015,training,2.0798215866088867,0.5794060826301575,4,"{""type"":""Point"",""coordinates"":[104.8406187884165,10.274132559949525]}"
1_140,2018-11-20,314.5279137404284,"Lu Quang Nam, Quang Ngai",2,FL_TRN_2018_11,1,1,1,0,0,40,199.95999415777624,26.23999929614365,46.17999874986708,49.719998713582754,training,1.3223777983274798,0.5234265923500061,1,"{""type"":""Point"",""coordinates"":[104.63636752093936,10.373274761623769]}"
1_157,2018-11-20,45.454063415527344,"Lu Quang Nam, Quang Ngai",2,FL_TRN_2018_11,1,1,1,0,0,40,314.4499920960516,65.03999814018607,164.22999625839293,46.64999878406525,training,1.3219553232192993,0.6355291604995728,4,"{""type"":""Point"",""coordinates"":[105.32084276820423,10.174825042131191]}"
1_160,2018-11-20,243.79850049655818,"Lu Quang Nam, Quang Ngai",1,FL_TRN_2018_11,1,1,1,0,0,40,86.2699977569282,20.579999627545476,37.749999111518264,4.6999998688697815,training,2.099692207583055,0.5657917261123657,4,"{""type"":""Point"",""coordinates"":[106.0615846858743,10.202569945008603]}"
1_181,2018-11-20,225.44387817382812,"Lu Quang Nam, Quang Ngai",3,FL_TRN_2018_11,1,1,1,0,0,40,98.99999751336873,28.86999959126115,53.33999865874648,9.599999846890569,training,3.959538221359253,0.5394985675811768,4,"{""type"":""Point"",""coordinates"":[105.97922331758575,10.060744737996298]}"
1_186,2018-11-20,295.91314697265625,"Lu Quang Nam, Quang Ngai",200,FL_TRN_2018_11,1,1,1,0,0,40,169.45999604836106,57.90999875590205,58.059998746961355,63.6199984010309,training,2.121394634246826,0.1812635064125061,6,"{""type"":""Point"",""coordinates"":[108.54110337969044,13.659617368531922]}"
1_191,2018-11-20,134.6206626861719,"Lu Quang Nam, Quang Ngai",2,FL_TRN_2018_11,1,1,1,0,0,40,72.02999788150191,28.88999910093844,42.98999878950417,34.94999895244837,training,6.573216059572429,0.5365477800369263,7,"{""type"":""Point"",""coordinates"":[105.70733889252288,9.3040201152244]}"
1_199,2018-11-20,290.72850629737934,"Lu Quang Nam, Quang Ngai",349,FL_TRN_2018_11,1,0,0,0,0,10,261.36999427713454,94.23999775387347,97.19999764300883,78.13999879360199,training,17.752531398053783,0.2292683720588684,6,"{""type"":""Point"",""coordinates"":[108.71868278423949,13.313710932047531]}"
1_228,2018-11-20,206.9467010498047,"Lu Quang Nam, Quang Ngai",3,FL_TRN_2018_11,1,1,1,0,0,40,183.4099960140884,17.519999880343676,26.68999958783388,30.569999031722546,training,2.0799951553344727,0.6119564175605774,4,"{""type"":""Point"",""coordinates"":[105.47797354764026,10.401413857105466]}"
1_287,2018-11-20,14.280858878254355,"Lu Quang Nam, Quang Ngai",0,FL_TRN_2018_11,1,1,1,0,0,40,133.66999639943242,38.20999934896827,55.02999896556139,8.189999850466847,training,3.82258233220246,0.5168383717536926,4,"{""type"":""Point"",""coordinates"":[106.40275517982288,10.838742041806732]}"
1_290,2018-11-20,258.98956298828125,"Lu Quang Nam, Quang Ngai",179,FL_TRN_2018_11,1,0,0,0,0,30,70.07999887876213,21.69999965466559,27.229999473318458,46.25999918393791,training,4.844705104827881,0.15206016600131989,6,"{""type"":""Point"",""coordinates"":[107.74583229405937,13.382584759179919]}"
1_304,2018-11-20,330.8081181689755,"Lu Quang Nam, Quang Ngai",247,FL_TRN_2018_11,1,0,0,0,0,10,108.28999778442085,7.1599997933954,18.549999503418803,0.08999999612569809,training,23.097580348214137,0.5228111743927002,4,"{""type"":""Point"",""coordinates"":[105.46654961340194,20.956765266614227]}"
1_314,2018-11-20,356.3620899422888,"Lu Quang Nam, Quang Ngai",341,FL_TRN_2018_11,1,0,0,0,0,10,94.52999817952514,22.349999237805605,83.6199984382838,0.8899999856948853,training,15.416073965696159,0.30027955770492554,4,"{""type"":""Point"",""coordinates"":[106.27184447404743,22.300955742922536]}"
1_315,2018-11-20,203.88195540621433,"Lu Quang Nam, Quang Ngai",140,FL_TRN_2018_11,1,0,0,0,0,10,110.62999779731035,9.310000151395798,35.59999953210354,0.0,training,16.74968425030754,0.32500386238098145,4,"{""type"":""Point"",""coordinates"":[106.62643998012493,21.56656451141984]}"
1_334,2018-11-20,90.0,"Lu Quang Nam, Quang Ngai",32,FL_TRN_2018_11,1,0,0,0,0,10,90.04999700933695,2.559999942779541,44.63999851047993,0.7199999690055847,training,1.8906457424163818,0.4556189477443695,6,"{""type"":""Point"",""coordinates"":[106.53866019407975,11.251636816551159]}"
1_346,2018-11-20,227.20244092257457,"Lu Quang Nam, Quang Ngai",116,FL_TRN_2018_11,1,0,0,0,0,10,75.92999882996082,0.0,48.559999495744705,0.0,training,14.686237846670704,0.354308545589447,4,"{""type"":""Point"",""coordinates"":[105.39452950238288,22.19102657794333]}"
1_353,2018-11-20,34.10725143116492,"Lu Quang Nam, Quang Ngai",5,FL_TRN_2018_11,1,1,1,0,0,40,233.13999576680362,69.03999877162278,119.46999771520495,45.9499986898154,training,3.3566720110290653,0.6081936955451965,4,"{""type"":""Point"",""coordinates"":[105.13606775264797,10.135814272442884]}"
1_364,2018-11-20,38.896651377013754,"Lu Quang Nam, Quang Ngai",131,FL_TRN_2018_11,1,0,0,0,0,10,157.98999644629657,8.419999925419688,8.419999925419688,7.689999781548977,training,10.602761232126229,0.5549119710922241,4,"{""type"":""Point"",""coordinates"":[108.30592430544637,15.415077050430666]}"
1_366,2018-11-20,80.69767314478246,"Lu Quang Nam, Quang Ngai",4,FL_TRN_2018_11,1,1,1,0,0,40,166.32999565452337,14.729999722912908,24.469999501481652,27.74999912455678,training,5.718798454870405,0.4952302873134613,4,"{""type"":""Point"",""coordinates"":[105.19079041878534,10.645600184268174]}"
1_369,2018-11-20,304.30529886536334,"Lu Quang Nam, Quang Ngai",287,FL_TRN_2018_11,1,0,0,0,0,10,118.87999777682126,4.589999807998538,92.70999819226563,0.0,training,32.2881068803467,0.4848933517932892,4,"{""type"":""Point"",""coordinates"":[105.5749620484377,21.504035846954828]}"
1_382,2018-11-20,-0.0,"Lu Quang Nam, Quang Ngai",3,FL_TRN_2018_11,1,1,1,0,0,40,366.45999319665134,75.74999836273491,149.62999716587365,53.07999903149903,training,0.9274099469184875,0.6627689599990845,4,"{""type"":""Point"",""coordinates"":[105.32958530752265,10.056878028989026]}"
1_406,2018-11-20,322.5557737921135,"Lu Quang Nam, Quang Ngai",1057,FL_TRN_2018_11,1,0,0,0,0,10,257.34999348409474,151.0699959024787,159.1899957265705,38.08999937027693,training,13.748366308563773,0.3559252917766571,4,"{""type"":""Point"",""coordinates"":[108.40488571448287,11.652143121673769]}"
1_423,2018-11-20,47.01533273355838,"Lu Quang Nam, Quang Ngai",10,FL_TRN_2018_11,1,1,1,0,0,40,86.78999783843756,24.749999402090907,59.49999844841659,0.08999999612569809,training,1.3600955622131328,0.42331501841545105,4,"{""type"":""Point"",""coordinates"":[105.63409693662632,21.249472011741933]}"
1_426,2018-11-20,284.1162015557341,"Lu Quang Nam, Quang Ngai",611,FL_TRN_2018_11,1,0,0,0,0,10,95.98999706655741,53.82999799400568,92.90999712795019,0.0,training,11.261462189300543,0.267518013715744,4,"{""type"":""Point"",""coordinates"":[106.77390884734092,22.7640431980896]}"
1_441,2018-11-20,230.52163696289062,"Lu Quang Nam, Quang Ngai",192,FL_TRN_2018_11,1,0,0,0,0,10,105.62999829649925,2.8299999237060547,76.71999874711037,0.0,training,11.512968063354492,0.3077757954597473,4,"{""type"":""Point"",""coordinates"":[105.85415153532361,22.079550486542782]}"
1_450,2018-11-20,296.1679604825762,"Lu Quang Nam, Quang Ngai",0,FL_TRN_2018_11,1,1,1,0,0,40,170.84999504685402,33.71999897994101,83.77999741025269,8.579999735578895,training,2.102190974037402,0.5591148734092712,1,"{""type"":""Point"",""coordinates"":[106.2735947131511,10.663080766563628]}"
1_462,2018-11-20,252.09740908404302,"Lu Quang Nam, Quang Ngai",614,FL_TRN_2018_11,1,0,0,0,0,30,37.709999084472656,15.589999508112669,21.389999341219664,49.00999881327152,training,6.012265833251476,0.29661622643470764,6,"{""type"":""Point"",""coordinates"":[107.74731236022728,14.274763929248579]}"
1_468,2018-11-20,271.9788513183594,"Lu Quang Nam, Quang Ngai",799,FL_TRN_2018_11,1,0,0,0,0,10,35.30999938957393,11.489999815821648,19.00999967753887,22.069999538362026,training,25.117088317871094,0.1753174513578415,4,"{""type"":""Point"",""coordinates"":[107.56949076976841,14.663713290439437]}"
1_472,2018-11-20,151.68467712402344,"Lu Quang Nam, Quang Ngai",204,FL_TRN_2018_11,1,0,0,0,0,10,118.41999718733132,0.0,61.9199987296015,0.019999999552965164,training,2.1061453819274902,0.44411948323249817,4,"{""type"":""Point"",""coordinates"":[106.06342880222846,21.874067431718757]}"
1_474,2018-11-20,291.27239990234375,"Lu Quang Nam, Quang Ngai",162,FL_TRN_2018_11,1,1,1,0,0,40,71.8299976401031,27.6099990978837,32.97999885678291,53.41999889910221,training,10.11931324005127,0.12318664789199829,4,"{""type"":""Point"",""coordinates"":[107.74405811565478,13.264173720560526]}"
1_531,2018-11-20,247.75186157226562,"Lu Quang Nam, Quang Ngai",127,FL_TRN_2018_11,1,0,0,0,0,10,67.59999876655638,3.969999907538295,58.16999892145395,1.2799999732524157,training,16.661592483520508,0.0,4,"{""type"":""Point"",""coordinates"":[107.00226642519111,20.768284358197945]}"
1_537,2018-11-20,296.24567942120456,"Lu Quang Nam, Quang Ngai",1,FL_TRN_2018_11,1,1,1,0,0,40,175.0099961105734,33.08999936282635,71.79999837838113,52.12999843992293,training,2.0964108015203435,0.6089645028114319,4,"{""type"":""Point"",""coordinates"":[105.49820848499924,9.563327662824472]}"
1_548,2018-11-20,293.46502685546875,"Lu Quang Nam, Quang Ngai",90,FL_TRN_2018_11,1,0,0,0,0,10,127.65999765507877,6.349999602884054,53.14999899081886,0.0,training,15.884981155395508,0.4180663526058197,4,"{""type"":""Point"",""coordinates"":[106.03422715999214,21.53646234495445]}"
1_572,2018-11-20,90.0,"Lu Quang Nam, Quang Ngai",4,FL_TRN_2018_11,1,1,1,0,0,40,301.7399929780513,86.1999975591898,150.56999642774463,63.4599983189255,training,4.699575217374754,0.6284016966819763,4,"{""type"":""Point"",""coordinates"":[105.21101596586489,10.079334841906444]}"
1_579,2018-11-20,304.9336856049886,"Lu Quang Nam, Quang Ngai",67,FL_TRN_2018_11,1,0,0,0,0,10,97.02999734319746,24.339999347925186,73.77999811805785,0.0,training,14.27452626822981,0.46303001046180725,4,"{""type"":""Point"",""coordinates"":[105.67306568486121,21.360223676899206]}"
1_582,2018-11-20,270.0,"Lu Quang Nam, Quang Ngai",837,FL_TRN_2018_11,1,0,0,0,0,30,35.95999920926988,25.469999449327588,29.539999337866902,116.16999779455364,training,19.317598342895508,0.26809218525886536,4,"{""type"":""Point"",""coordinates"":[108.20237321751424,14.124169349098628]}"
1_583,2018-11-20,274.1397767052071,"Lu Quang Nam, Quang Ngai",120,FL_TRN_2018_11,1,0,0,0,0,10,58.979998759925365,0.07000000029802322,9.489999793469906,5.669999897480011,training,12.638862851545264,0.4495890438556671,6,"{""type"":""Point"",""coordinates"":[105.45880327231887,19.792775501691573]}"
1_586,2018-11-20,63.74980926513672,"Lu Quang Nam, Quang Ngai",5,FL_TRN_2018_11,1,1,1,0,0,40,82.62999792583287,25.75999927893281,46.76999883167446,43.3499990478158,training,2.096076250076294,0.5934448838233948,4,"{""type"":""Point"",""coordinates"":[105.63225897247742,9.495228858673556]}"
1_592,2018-11-20,223.75500245158503,"Lu Quang Nam, Quang Ngai",372,FL_TRN_2018_11,1,0,0,0,0,10,118.56999711692333,2.5499999821186066,79.67999789118767,0.0,training,11.403657669833356,0.3655061721801758,7,"{""type"":""Point"",""coordinates"":[106.88710142007392,21.815984100742288]}"
1_595,2018-11-20,205.51924044419323,"Lu Quang Nam, Quang Ngai",1288,FL_TRN_2018_11,1,0,0,0,0,10,30.949999123811722,19.23999932408333,21.5199992954731,8.819999752566218,training,25.00349628311634,0.1702960580587387,4,"{""type"":""Point"",""coordinates"":[107.74639745765636,14.80513792315049]}"
1_601,2018-11-20,270.0,"Lu Quang Nam, Quang Ngai",-1,FL_TRN_2018_11,1,1,1,0,0,40,44.439998880028725,6.039999738335609,15.409999569877982,3.959999928250909,training,3.7616755944422464,0.46025845408439636,4,"{""type"":""Point"",""coordinates"":[106.12175825163865,9.990679197000341]}"
1_630,2018-11-20,68.17116286595426,"Lu Quang Nam, Quang Ngai",-2,FL_TRN_2018_11,1,0,0,1,0,80,124.4799979981035,27.669999422505498,88.12999827973545,1.2799999881535769,training,14.63907424374964,0.0,7,"{""type"":""Point"",""coordinates"":[106.93984383319474,20.832068658479656]}"
1_652,2018-11-20,198.71954345703125,"Lu Quang Nam, Quang Ngai",7,FL_TRN_2018_11,1,1,1,0,0,40,157.29999657161534,11.989999817684293,35.74999935925007,32.91999931819737,training,2.9353137016296387,0.5393818020820618,4,"{""type"":""Point"",""coordinates"":[105.41145400388702,10.363930465384904]}"
1_653,2018-11-20,308.67401478198144,"Lu Quang Nam, Quang Ngai",234,FL_TRN_2018_11,1,0,0,0,0,10,108.28999778442085,7.1599997933954,18.549999503418803,0.08999999612569809,training,17.268409920753644,0.523051917552948,4,"{""type"":""Point"",""coordinates"":[105.40387625194582,20.963578882714604]}"
1_662,2018-11-20,2.786683850004428,"Lu Quang Nam, Quang Ngai",706,FL_TRN_2018_11,1,0,0,0,0,10,70.50999858602881,25.069999810308218,31.929999586194754,0.11999999731779099,training,19.62382445578679,0.43137338757514954,4,"{""type"":""Point"",""coordinates"":[104.89721221758039,20.959890738279576]}"
1_673,2018-11-20,254.62158203125,"Lu Quang Nam, Quang Ngai",538,FL_TRN_2018_11,1,0,0,0,0,30,118.36999752931297,61.98999908566475,68.20999895222485,0.11999999731779099,training,16.972572326660156,0.453599214553833,4,"{""type"":""Point"",""coordinates"":[104.68415720053673,20.74932328910952]}"
1_691,2018-11-20,206.03875732421875,"Lu Quang Nam, Quang Ngai",1282,FL_TRN_2018_11,1,0,0,0,0,10,51.269999131560326,14.529999628663063,37.9799994379282,0.019999999552965164,training,19.81560516357422,0.3615862727165222,4,"{""type"":""Point"",""coordinates"":[105.17484993981193,22.91951864175253]}"
