system:index,apex_date,aspect,detail,elevation,event_id,flood,is_agriculture,is_flood_prone,is_permanent_water,is_urban,land_cover,precip_14_day,precip_3_day,precip_7_day,precip_total,purpose,slope,soil_moisture,soil_type,.geo
1_11,2020-10-13,161.1547193686195,Lu lich su mien Trung (Dot 1),412,FL_TRN_2020_10,1,1,1,0,0,40,382.2689907755703,98.27999749779701,288.449993301183,279.49999257177114,training,2.937501338843433,0.48925748467445374,4,"{""type"":""Point"",""coordinates"":[108.03193186053409,12.411882864928357]}"
1_35,2020-10-13,-0.0,Lu lich su mien Trung (Dot 1),3,FL_TRN_2020_10,1,1,1,0,0,40,447.18798914551735,38.389999417588115,203.84999587200582,1718.6799676530063,training,0.9274099368611016,0.4752030074596405,7,"{""type"":""Point"",""coordinates"":[105.81397131092713,18.459956595396243]}"
1_58,2020-10-13,71.83456690865991,Lu lich su mien Trung (Dot 1),2,FL_TRN_2020_10,1,1,1,0,0,40,640.1299837380648,201.24999430030584,323.1799911260605,652.1399847492576,training,2.972329991675358,0.0,4,"{""type"":""Point"",""coordinates"":[104.92928499543763,10.151731857211526]}"
1_96,2020-10-13,280.6075747694761,Lu lich su mien Trung (Dot 1),24,FL_TRN_2020_10,1,0,0,0,0,60,235.4549973476678,0.0,132.35999987274408,378.04999116808176,training,5.025557636327816,0.484481543302536,7,"{""type"":""Point"",""coordinates"":[105.65718377471542,20.543149258025416]}"
1_97,2020-10-13,26.869653701782227,Lu lich su mien Trung (Dot 1),677,FL_TRN_2020_10,1,0,0,0,0,10,58.059998517856,1.4799999743700027,21.039999363943934,252.58999409899116,training,15.227239608764648,0.4073507487773895,4,"{""type"":""Point"",""coordinates"":[105.205323442756,22.918565660868744]}"
1_104,2020-10-13,331.8155822753906,Lu lich su mien Trung (Dot 1),681,FL_TRN_2020_10,1,0,0,0,0,30,223.98299595341086,0.07000000029802322,84.20999934151769,231.61999571882188,training,10.40658187866211,0.37913843989372253,4,"{""type"":""Point"",""coordinates"":[104.38938340438462,21.075794202661577]}"
1_109,2020-10-13,26.91301727294922,Lu lich su mien Trung (Dot 1),2,FL_TRN_2020_10,1,1,1,0,0,40,609.4099873211235,151.21999701857567,303.06999344564974,747.7999850995839,training,6.216357231140137,0.6364753246307373,4,"{""type"":""Point"",""coordinates"":[105.2679860329853,9.936616313509168]}"
1_124,2020-10-13,56.70140623590812,Lu lich su mien Trung (Dot 1),0,FL_TRN_2020_10,1,0,0,0,0,30,562.644986204803,149.03999643959105,293.0799928791821,621.6499840710312,training,3.3749148470053956,0.5116119384765625,1,"{""type"":""Point"",""coordinates"":[105.51288142881047,9.848606039439318]}"
1_131,2020-10-13,-0.0,Lu lich su mien Trung (Dot 1),1,FL_TRN_2020_10,1,1,1,0,0,40,542.2369861751795,198.7999952007085,304.74999255128205,519.1099882740527,training,0.0,0.540978193283081,4,"{""type"":""Point"",""coordinates"":[104.85838110381866,10.423940754387477]}"
1_133,2020-10-13,26.898813247680664,Lu lich su mien Trung (Dot 1),8,FL_TRN_2020_10,1,1,1,0,0,40,563.2749886121601,116.86999755539,306.3499932214618,442.02998970262706,training,14.258370399475098,0.6178906559944153,4,"{""type"":""Point"",""coordinates"":[105.97462618732065,9.734274358076553]}"
1_136,2020-10-13,114.88599034792311,Lu lich su mien Trung (Dot 1),727,FL_TRN_2020_10,1,0,0,0,0,30,96.70299810916185,0.0,43.92999924719334,83.18999777920544,training,15.070813087941646,0.563173234462738,4,"{""type"":""Point"",""coordinates"":[102.74428360583875,21.90934560726196]}"
1_149,2020-10-13,125.68611907958984,Lu lich su mien Trung (Dot 1),934,FL_TRN_2020_10,1,0,0,0,0,10,86.01899825781584,0.1699999924749136,42.58999896980822,169.78999482095242,training,29.03021812438965,0.37032854557037354,4,"{""type"":""Point"",""coordinates"":[103.63441682617146,20.98644877092006]}"
1_153,2020-10-13,244.5570831298828,Lu lich su mien Trung (Dot 1),14,FL_TRN_2020_10,1,0,0,0,0,10,659.6739838421345,313.60999135300517,460.8999887574464,1249.499970767647,training,2.157884359359741,0.5708627104759216,4,"{""type"":""Point"",""coordinates"":[105.99485610675404,17.91617664409304]}"
1_157,2020-10-13,45.454063415527344,Lu lich su mien Trung (Dot 1),2,FL_TRN_2020_10,1,1,1,0,0,40,590.8139853272587,157.21999591775239,302.3599925786257,655.3899830952287,training,1.3219553232192993,0.5865830779075623,4,"{""type"":""Point"",""coordinates"":[105.32084276820423,10.174825042131191]}"
1_174,2020-10-13,118.51287032136392,Lu lich su mien Trung (Dot 1),365,FL_TRN_2020_10,1,0,0,0,0,10,180.688995372504,0.6599999815225601,45.16999880224466,228.9899942483753,training,18.732468785037078,0.5755946636199951,4,"{""type"":""Point"",""coordinates"":[105.14983052458759,22.5543653045838]}"
1_179,2020-10-13,100.98548126220703,Lu lich su mien Trung (Dot 1),985,FL_TRN_2020_10,1,0,0,0,0,30,42.02699895016849,1.329999977722764,30.949999207630754,129.51999755389988,training,23.0129451751709,0.4532032608985901,4,"{""type"":""Point"",""coordinates"":[103.2439515968892,21.288615105563]}"
1_206,2020-10-13,296.24079772500806,Lu lich su mien Trung (Dot 1),5,FL_TRN_2020_10,1,1,1,0,0,40,585.4699867516756,131.47999664768577,306.7999923210591,449.92998833209276,training,4.187944479192708,0.4719367027282715,7,"{""type"":""Point"",""coordinates"":[106.10680047044023,9.63599429564801]}"
1_214,2020-10-13,313.22331356619804,Lu lich su mien Trung (Dot 1),94,FL_TRN_2020_10,1,0,0,0,0,30,116.86999706365168,0.03999999910593033,42.09999845735729,806.0099781434983,training,1.354058317972828,0.35162627696990967,7,"{""type"":""Point"",""coordinates"":[105.22956702972893,19.977628957218265]}"
1_234,2020-10-13,45.38752644045864,Lu lich su mien Trung (Dot 1),2,FL_TRN_2020_10,1,1,1,0,0,40,609.7249867599458,111.04999777115881,259.3099940624088,632.6699855029583,training,1.3203988522984196,0.603182315826416,4,"{""type"":""Point"",""coordinates"":[105.55787882818073,9.402890525749756]}"
1_282,2020-10-13,314.7601013183594,Lu lich su mien Trung (Dot 1),553,FL_TRN_2020_10,1,0,0,0,0,10,96.88999792933464,0.03999999910593033,31.27999958395958,166.97999548353255,training,21.3465576171875,0.3396511971950531,4,"{""type"":""Point"",""coordinates"":[103.83814426650497,21.040819737879488]}"
1_287,2020-10-13,14.280858878254355,Lu lich su mien Trung (Dot 1),0,FL_TRN_2020_10,1,1,1,0,0,40,520.1449878886342,140.42999710328877,282.09999375231564,366.34999165683985,training,3.82258233220246,0.524407684803009,4,"{""type"":""Point"",""coordinates"":[106.40275517982288,10.838742041806732]}"
1_310,2020-10-13,225.50366986666842,Lu lich su mien Trung (Dot 1),11,FL_TRN_2020_10,1,1,1,0,0,40,537.7739874459803,116.56999750435352,306.54999271966517,405.89999056607485,training,3.963727918669949,0.49659720063209534,4,"{""type"":""Point"",""coordinates"":[105.2436851482149,10.7129441177716]}"
1_332,2020-10-13,225.42508924568625,Lu lich su mien Trung (Dot 1),9,FL_TRN_2020_10,1,1,1,0,0,40,458.9499899968505,117.45999744720757,282.71999431215227,370.6199905704707,training,1.3212768447118488,0.538202166557312,4,"{""type"":""Point"",""coordinates"":[106.05296616317514,9.846488775323232]}"
1_350,2020-10-13,296.1605777790091,Lu lich su mien Trung (Dot 1),4,FL_TRN_2020_10,1,1,1,0,0,40,562.3549872301519,146.64999614283442,333.9199923276901,529.879988245666,training,2.1027419047743994,0.6661440134048462,1,"{""type"":""Point"",""coordinates"":[105.79709493991477,10.76134700649055]}"
1_362,2020-10-13,292.7928977273858,Lu lich su mien Trung (Dot 1),117,FL_TRN_2020_10,1,0,0,0,0,10,161.75299508869648,0.0,53.83999851346016,182.52999601140618,training,11.80092152745108,0.5613640546798706,4,"{""type"":""Point"",""coordinates"":[105.33757650092836,22.410754557009913]}"
